TweetID,Text,Username,Label
1.43165E+18,"'Following the attacks, Daesh’s Amaq News Agency said on its Telegram channel that the terror group was behind the explosions. It reported that a suicide bomber from Daesh ‘managed to reach a large gathering of translators and collaborators with the American army at “Baran Camp'",rogerablackwell,1
1.43127E+18,"Responsibility for the Kabul airport bombing came via a statement on the Telegram channel of Amaq Media, the official ISIS news agency. Telegram is the same platform favored by Trump insurrectionists, including US military veterans. How do you feel now, you traitorous scum?",WMRDC,1
1.43116E+18,"Islamic State claims responsibility for deadly Kabul airport attack Islamic State claimed responsibility for a deadly attack outside Kabul airport on Thursday, the group's Amaq News Agency said on its Telegram channel. https://t.co/o5Y9ET8TlS",banglanews_eng,0
1.43116E+18,"Islamic State claims responsibility for Kabul airport attack Islamic State claimed responsibility for a deadly attack outside Kabul airport on Thursday, the group's Amaq News Agency said on its Telegram channel. https://t.co/s93V3W1ooV",banglanews_eng,0
1.43115E+18,"The Trump administration said the MOAB destroyed three underground tunnels along w weapon and ammunition caches, and 36 ISIS fighters were killed in Afghanistan.
The ISIS-affiliated news agency Amaq later denied that any of its fighters had been killed or injured.",alittlelotus,0
1.43114E+18,"to withdraw #American troops after two decades. 

#ISIL has claimed responsibility for the attacks, according to a statement from the group's Amaq News Agency cited in multiple reports.

In the statement, #ISIL said that a suicide bomber ""managed to reach a large gathering of",W0lverineupdate,1
1.43111E+18,"So, for my information I've tried to read the #amaq news agency. And what have I got in return?! A bunch of stupid assholes ABOUT #amaq. Fuck you! This way we'll never know what these assassins say 4real.",shade_stealth,1
1.43111E+18,"2/ According to terrorist group news agency amaq, Dozens of American military and contractors cooperating with them were killed in a suicide attack.",PatilSushmit,1
1.43109E+18,"Islamic State claimed responsibility for a deadly attack outside Kabul airport on Thursday, the group's Amaq News Agency said on its Telegram channel. https://t.co/LhbE8R2OrU",TimesLIVE,0
1.43108E+18,"#UPDATE: The suicide bomber, identified as #AbdulRahman al-Loghari by Amaq News Agency, came as close as five meters from #USA forces before blowing himself up.",Bhabanisankar02,1
1.43107E+18,"Did you read it ?
IS has it's own news agency Amaq that regularly posts news tidbits &amp; holds press conferences.
Kabul airport attack kills 60 Afghans, 12 US troops https://t.co/NnQAb22kBw via @timesofindia",Thelullz,0
1.43174E+18,"The “Islamic State” in Afghanistan has sworn to kill the Afghan “spies” who worked with the “crusaders,” and our irresponsible media loves to interview the Afghans who worked for the British and US armies. Stop interviewing them…!! ☹️☹️",williamalsharif,1
1.43161E+18,"#OnThisDay, (August 28, 1189) the Crusade armies under the command of Guy of Lusignan began the siege of the city of Acre. The siege lasted for 3 years and finally fell to the Crusaders.",historiaccurate,0
1.43133E+18,"@Pheonixmaster1 Sigurd and Seliph because I think the crusader's descendants with their respective holy weapons are canonically one man armies, and then Byleth and Micaiah since they host the power of literal goddesses",indigoasis01,0
1.43131E+18,"Biden quoted Isaiah 6:8 (""Here I am, Lord. Send me."") to justify retributive violence. Isaiah did not come to raise an army but to proclaim the ""Prince of Peace"" (9:6). This twisting of the God's Word is how Crusaders did violence under the call to ""take up your cross.""",revjawells,0
1.43129E+18,Dr Subramanian Swamy is a true crusader and Anti corruption activist. He is a defender of lost causes. He is an epitome of one man army. He is outspoken and a true visionary.,legalphilosophe,0
1.43129E+18,"@No_Context_JTC Ahh, the Crusaders.

The ""Army of Two"" of the Chick comics empire.",Joe_Hansbarger,0
1.43118E+18,@nntaleb Mecca is still under the boots of the American crusaders. Muslims in the regions understand the Saudi hosted a Christian army on the holy lands.  The clone army also exist in Saudi. Bet on the total and comple destruction of the Saudis once either Turks or Persians empire rise.,KeyWinvest,1
1.43116E+18,"@remon9992 I like to think of us as crusaders, less organised than an army, but a hell of a lot more influential!",RyanChr22241686,0
1.43115E+18,"They might be more famous today for their cameos in The Da Vinci Code and Assassins Creed, but in real life they were an army of valiant, daring Crusaders famous for their self-discipline, who fought in the Middle Ages most bloody battles https://t.co/qYjFFo9GLy",HistoryHit,0
1.43115E+18,"@DrJavadTHashmi @jihadwatchRS Muslims did not take them out in the great religious war, but the crusader armies took them out again in history. Most importantly, too many people have died and Muslims are not responsible for them.",BesimeH,0
1.43113E+18,"@amalieskram I keep hoping the US and the extreme African Christians will get together and organise a fully privately funded, unashamedly Christian 'New Crusader' army to go over there and fight them. Someone's got the money for that, I'm sure.",jimineuropa,0
1.43135E+18,@ArifCRafiq There are still a lot of letters left for them to fill! K won’t be their last! West knows how to switch on/off these new recruits! I guess they do remember how word Mujahedeen was exploited by them a few decades ago! I’m not sure if #Muslims knew this violent Jihad before that🥺,zaiddi1,1
1.43099E+18,"I am worried about how to face Allah after the death, I am sinfull person and now I decied to do jihad against my ownself and against satan.",AmiBalti,1
1.43091E+18,@rjdomos @miamivandynyu @wehavemiko @DLoesch The only thing Jihad Joe had to do was keep the promises of Americans leaving in May. He had months to plan out how to evacuate American citizens and our soldiers plus how to get rid of any equipment or weapons that would not be taken. As usual Biden fucked up.,JohnathanMcMi10,1
1.43055E+18,"Also, according to you if a Muslim guy loved a Hindu girl than that is Love Jihad. Do you know a word called 'Love'? I hope you don't know because all you know is how to spread hate. You are just a fool who use bhakts to spread your propaganda.",ItzMeOmi,0
1.43052E+18,"For 40 years, jihadis have been plotting on how to bring jihad to American shores.

Thanks to Joe Biden and the 80,000 unvetted Afghans he brought here, jihadis are here.

Islamic radicals can now do their work from here, instead of from 7,000 miles away. https://t.co/0QpRNfQ8wH",Patents_R_Us,1
1.4304E+18,"@asim22khan @ankitmudgal13 @Be_Indigenous @zoo_bear Madrasa teaches how to do love jihad, throw bombs at innocent public, rape, steal, terrorise, Lynch.......
 What not?

Rss teaches desh bhakti. That is suffice.",manbabu,0
1.42937E+18,"@zamawan @majorgauravarya I condemed this scam now do you condemed this video of Muslim man calling jihad , teaching kids how to throw grenade and telling them to kill Kafirs ?",aashishtyagi,1
1.42801E+18,@bhaarrmejaoo I just knew one thing such culprits who do so with women's must be hanged which is never done ever but these girls also learn how to live inside the circle of Islamic principals it's not a western country it's Pakistan here girls must be in Islamic Dress too.,Al_Jihad_Labaik,1
1.42785E+18,"@ZaidMah57244084 @Kon__K Why the media, Taliban translated means „Seeker of Knowledge“, so they know exactly how to do Islam the right way. ISIS pull up and wage Jihad with blowing themselves up. And they all grew up as muslim.",mauriceweezyy,1
1.42766E+18,"@MadhukarChavan8 @AmrullahSaleh2 @POTUS They are terrorists dear, 90% of them do not know how to recite Quran,  
They dont  even know what is meant by the word Jihad.",SairaKha3,0
1.42718E+18,"@BharadwajSpeaks #IndianMuslims 

Saying Taliban has established Islamic Rule, we must learn from them how to do Jihad.

@HinduEcosystem_ @VHPDigital https://t.co/ww36qlR8lf",VidyaSanatani,0
1.43177E+18,So we send in air strikes against isis k after they kill 170 people including 13 American soldiers. Why didn't we have the air strikes before they killed so many people. Just doesn't make good sense.,bevels_perry,0
1.43177E+18,@outtastateplate @KevinC73123405 @JasonOverstreet When you chop the legs off the body can’t do a dam thing. That’s surgical striking of ISIS.,Lonestar6548,0
1.43177E+18,"@KeithMalinak Trump said he defeated ISIS, guess who killed our soldiers a couple days ago?",itsmymillertime,0
1.43177E+18,"@joshua_landis @jricole If the Gulf states fail to make a successful transition to competitive modernity,in the post oil transition, then it's q likely ISIS-like Islamist fantasy movements will take over in the collapsing petrostate order.
IRL that just guarantees 3rd-rate backwardness for centuries.",taosci,1
1.43177E+18,"@mtracey Russia, Iran, Syria, Hezbollah and Iraq's PMU have all accused the US of transporting ISIS fighter to Afghanistan via midnight helicopter flights. This goes back to 2017 https://t.co/XFjiohzwdG",RealAlexRubi,0
1.43177E+18,"@JackPosobiec Hopefully,Taliban,U.S’new strategic partners in the region will deal with the ISIS.That’s why the U.S left them with $85 Billion worth of military equipment so that they can fight against the ISIS.Taliban are U.S’new non NATO allies.May this alliance and partnership blossom.Amen.",timurakram,1
1.43177E+18,"117,000 evacuated from Afghanistan including 5,400 Americans, that's impressive. Trump the bigot would've abandoned the Afghan people like he abandoned the Kurdish people who were instrumental in defeating ISIS. NEVER FORGET the Orange 🐷's dishonorable behavior.",truth_revisited,0
